In Tuning DIPSW, each option has its own routine which is executed while it is selected.
The routines manage how their corresponding setting should be changed using left & right keys.

name				address		level selection variable
CUSTOMIZE MENU METHOD		0075C2CA	-2
WAY OF LIFE			0075C36E	-1
LEVEL				0075C412	0
CAPTION				0075C4B6	1
INTERMISSION MONOLOGUE		0075C55A 	2
CORE SIGN			0075C621	3
SPEED CONTROL			0075C6E8	4
BOOTLEG GHOST RADIANCE		0075C798	5
SW CHARGED ANNOUNCE		0075C837	6
DC STANDBY ANNOUNCE		0075C8B5	7
INV VISUALIZER			0075C933	8
SPIRIT GAIN DISP		0075C9B1	9
SPIRITS CYCLE ANNOUNCE		0075CA55	10
KILL CYCLE ANNOUNCE		0075CAD3	11
BACKGROUND DISTINCTNESS		0075CB51	12
COMMON HIT SPARK		0075CBE4	13
COMMON FIRE SPARK		0075CCAB	14
RESULT GRAPH			0075CD72	15
VOLUME-MASTER			0075CE05	16
VOLUME-BACKGROUND		0075CF5A	17
VOLUME-SOUND EFFECT		0075D0D3	18
MENU BACKGROUND PHASE		0075D24C	19
